gene_symbol,ensembl_id,mechanism_layer,hpa_query_status,hpa_url,hpa_pathology_url,protein_name,uniprot,protein_class,hpa_evidence,protein_evidence,reliability_ih,antibody_count,antibodies,rna_cancer_specificity,rna_cancer_distribution,protein_tissue_specificity,protein_tissue_distribution,tissue_expression_cluster,lung_tissue_cell_type_enrichment,lung_cancer_ihc_availability,staining_level,staining_intensity,staining_quantity,tumor_vs_normal_qualitative_pattern,lung_adenocarcinoma_prognostic,lung_adenocarcinoma_prognostic_type,lung_adenocarcinoma_p_value,lung_adenocarcinoma_validation_prognostic,lung_adenocarcinoma_validation_type,lung_adenocarcinoma_validation_p_value,hpa_support_status,support_reason
ZEB1,ENSG00000148516,emt_like_malignant_program,cached,https://www.proteinatlas.org/ENSG00000148516-ZEB1,https://www.proteinatlas.org/ENSG00000148516-ZEB1/pathology/lung+cancer,Zinc finger E-box binding homeobox 1,P37275,Disease related genes;Human disease related genes;Predicted intracellular proteins;Transcription factors,Evidence at protein level,Evidence at protein level,Enhanced,3,HPA027524;CAB058686;CAB079943,Cancer enhanced,Detected in all,Tissue enriched,Detected in some,Cluster 25: Non-specific - Basic cellular processes,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,6.50e-2,unprognostic,,4.04e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
CDH2,ENSG00000170558,emt_like_malignant_program,cached,https://www.proteinatlas.org/ENSG00000170558-CDH2,https://www.proteinatlas.org/ENSG00000170558-CDH2/pathology/lung+cancer,Cadherin 2,P19022,CD markers;Disease related genes;Human disease related genes;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins,Evidence at protein level,Evidence at protein level,Enhanced,5,CAB000141;CAB018580;HPA058574;CAB078686;CAB080169,Cancer enhanced,Detected in many,Tissue enriched,Detected in many,Cluster 35: Non-specific - Mixed function,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,2.64e-2,unprognostic,,7.69e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
ITGA5,ENSG00000161638,emt_like_malignant_program,cached,https://www.proteinatlas.org/ENSG00000161638-ITGA5,https://www.proteinatlas.org/ENSG00000161638-ITGA5/pathology/lung+cancer,Integrin subunit alpha 5,P08648,Cancer-related genes;CD markers;Plasma proteins;Predicted membrane proteins;Transporters,Evidence at protein level,Evidence at protein level,Enhanced,2,HPA002642;CAB009008,Low cancer specificity,Detected in all,Group enriched,Detected in all,Cluster 12: Smooth muscle tissue - ECM organization,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,2.03e-3,potential prognostic,unfavorable,1.36e-5,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
ZEB2,ENSG00000169554,emt_like_malignant_program,cached,https://www.proteinatlas.org/ENSG00000169554-ZEB2,https://www.proteinatlas.org/ENSG00000169554-ZEB2/pathology/lung+cancer,Zinc finger E-box binding homeobox 2,O60315,Disease related genes;Human disease related genes;Predicted intracellular proteins;Transcription factors,Evidence at protein level,Evidence at protein level,Approved,1,HPA003456,Low cancer specificity,Detected in all,Tissue enhanced,Detected in many,Cluster 3: Oligodendrocytes - Myelination,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,8.41e-3,unprognostic,,9.64e-3,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
CA9,ENSG00000107159,hypoxia,cached,https://www.proteinatlas.org/ENSG00000107159-CA9,https://www.proteinatlas.org/ENSG00000107159-CA9/pathology/lung+cancer,Carbonic anhydrase 9,Q16790,Enzymes;FDA approved drug targets;Metabolic proteins;Predicted membrane proteins;Transporters,Evidence at protein level,Evidence at protein level,Enhanced,3,CAB005100;CAB017107;HPA055207,Cancer enhanced,Detected in many,Tissue enriched,Detected in some,Cluster 60: Stomach - Digestion,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,2.38e-3,potential prognostic,unfavorable,4.33e-5,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
SLC2A1,ENSG00000117394,hypoxia,cached,https://www.proteinatlas.org/ENSG00000117394-SLC2A1,https://www.proteinatlas.org/ENSG00000117394-SLC2A1/pathology/lung+cancer,Solute carrier family 2 member 1,P11166,Cancer-related genes;Disease related genes;Human disease related genes;Metabolic proteins;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Transporters,Evidence at protein level,Evidence at protein level,Enhanced,3,CAB002759;HPA031345;HPA058494,Low cancer specificity,Detected in all,Low tissue specificity,Detected in all,Cluster 11: Esophagus - Basic cellular processes,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,validated prognostic,unfavorable,5.40e-9,validated prognostic,unfavorable,3.54e-4,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
EGLN3,ENSG00000129521,hypoxia,cached,https://www.proteinatlas.org/ENSG00000129521-EGLN3,https://www.proteinatlas.org/ENSG00000129521-EGLN3/pathology/lung+cancer,Egl-9 family hypoxia inducible factor 3,Q9H6Z9,Enzymes;FDA approved drug targets;Predicted intracellular proteins,Evidence at protein level,Evidence at protein level,,1,HPA064895,Cancer enriched,Detected in all,Tissue enriched,Detected in some,Cluster 58: Skin - Keratinization,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,potential prognostic,unfavorable,1.62e-4,unprognostic,,1.90e-3,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
VEGFA,ENSG00000112715,hypoxia,cached,https://www.proteinatlas.org/ENSG00000112715-VEGFA,https://www.proteinatlas.org/ENSG00000112715-VEGFA/pathology/lung+cancer,Vascular endothelial growth factor A,P15692,Cancer-related genes;Candidate cardiovascular disease genes;Disease related genes;FDA approved drug targets;Human disease related genes;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;Predicted secreted proteins;RAS pathway related proteins,Evidence at protein level,Evidence at protein level,Supported,4,CAB005429;CAB039240;HPA069116;CAB069907,Cancer enhanced,Detected in all,Group enriched,Detected in many,Cluster 48: Ciliated tissues - Cilium organization,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,1.24e-2,potential prognostic,unfavorable,7.04e-4,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
LDHA,ENSG00000134333,hypoxia,cached,https://www.proteinatlas.org/ENSG00000134333-LDHA,https://www.proteinatlas.org/ENSG00000134333-LDHA/pathology/lung+cancer,Lactate dehydrogenase A,P00338,Cancer-related genes;Disease related genes;Enzymes;Essential proteins;FDA approved drug targets;Human disease related genes;Metabolic proteins;Plasma proteins;Predicted intracellular proteins,Evidence at protein level,Evidence at protein level,Uncertain,3,CAB015336;CAB069404;HPA075026,Low cancer specificity,Detected in all,Low tissue specificity,Detected in all,Cluster 24: Non-specific - Transcription,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,validated prognostic,unfavorable,2.07e-7,validated prognostic,unfavorable,7.09e-5,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
BNIP3,ENSG00000176171,hypoxia,cached,https://www.proteinatlas.org/ENSG00000176171-BNIP3,https://www.proteinatlas.org/ENSG00000176171-BNIP3/pathology/lung+cancer,BCL2 interacting protein 3,Q12983,Cancer-related genes;Predicted membrane proteins;Transporters,Evidence at protein level,Evidence at protein level,Supported,2,HPA003015;CAB011676,Low cancer specificity,Detected in all,Tissue enhanced,Detected in many,Cluster 70: Non-specific - Protein processing,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,3.54e-2,unprognostic,,7.29e-3,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
